varied_parameter,varied_value,method,scenario,size,success_rate,avg_return,avg_steps_on_success,prep_time_sec,eval_time_sec,total_time_sec,ql_episodes,ql_alpha,ql_gamma,ql_epsilon_start,ql_epsilon_min,ql_epsilon_decay,vi_gamma,vi_theta,csp_fallback
vi_gamma,0.9,ValueIteration,hard,14,0.19166666666666668,-53.0,48.78260869565217,0.12813595900661312,0.009632624991354533,0.13776858399796765,1500,0.2,0.95,1.0,0.05,0.995,0.9,1e-06,True
vi_gamma,0.95,ValueIteration,hard,14,0.9916666666666667,-23.758333333333333,38.36134453781513,0.2591553749953164,0.007059459006995894,0.2662148340023123,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
vi_gamma,0.98,ValueIteration,hard,14,1.0,-23.366666666666667,38.13333333333333,0.6548134579934413,0.006997500007855706,0.661810958001297,1500,0.2,0.95,1.0,0.05,0.995,0.98,1e-06,True
vi_gamma,0.995,ValueIteration,hard,14,1.0,-23.375,37.00833333333333,0.9541511249990435,0.006848457996966317,0.9609995829960098,1500,0.2,0.95,1.0,0.05,0.995,0.995,1e-06,True
vi_gamma,0.85,ValueIteration,medium,12,1.0,-0.675,26.241666666666667,0.06367712499923073,0.0049673330067889765,0.0686444580060197,1500,0.2,0.95,1.0,0.05,0.995,0.85,1e-06,True
vi_gamma,0.9,ValueIteration,medium,12,1.0,-0.675,26.241666666666667,0.09706066599756014,0.004990333007299341,0.10205099900485948,1500,0.2,0.95,1.0,0.05,0.995,0.9,1e-06,True
vi_gamma,0.95,ValueIteration,medium,12,1.0,-0.675,26.208333333333332,0.03775829100050032,0.005001124998671003,0.042759415999171324,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
vi_gamma,0.98,ValueIteration,medium,12,1.0,-0.6583333333333333,26.191666666666666,0.039015374990412965,0.00495354100712575,0.043968915997538716,1500,0.2,0.95,1.0,0.05,0.995,0.98,1e-06,True
vi_gamma,0.995,ValueIteration,medium,12,1.0,-0.6416666666666667,26.175,0.040429457993013784,0.0049534160061739385,0.04538287399918772,1500,0.2,0.95,1.0,0.05,0.995,0.995,1e-06,True
vi_theta,1e-07,ValueIteration,easy,10,1.0,7.033333333333333,18.833333333333332,0.019292458004201762,0.0037269589956849813,0.023019416999886744,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-07,True
vi_theta,1e-06,ValueIteration,easy,10,1.0,7.041666666666667,18.825,0.018214000010630116,0.0037244579871185124,0.021938457997748628,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
vi_theta,1e-05,ValueIteration,easy,10,1.0,7.066666666666666,18.8,0.017191916005685925,0.0037212910101516172,0.020913207015837543,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-05,True
vi_theta,0.0001,ValueIteration,easy,10,1.0,7.05,18.783333333333335,0.0160687909956323,0.0037614579923683777,0.019830248988000676,1500,0.2,0.95,1.0,0.05,0.995,0.95,0.0001,True
vi_theta,0.001,ValueIteration,easy,10,1.0,7.033333333333333,18.8,0.015011082999990322,0.003720958993653767,0.01873204199364409,1500,0.2,0.95,1.0,0.05,0.995,0.95,0.001,True
vi_theta,1e-07,ValueIteration,hard,14,0.9916666666666667,-23.525,38.09243697478992,0.3025722079910338,0.007015750001301058,0.30958795799233485,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-07,True
vi_theta,1e-06,ValueIteration,hard,14,0.9916666666666667,-23.683333333333334,38.252100840336134,0.2597696669981815,0.007022917008725926,0.2667925840069074,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
vi_theta,1e-05,ValueIteration,hard,14,0.9916666666666667,-23.758333333333333,38.36134453781513,0.2161761660099728,0.007029166998108849,0.22320533300808165,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-05,True
vi_theta,0.0001,ValueIteration,hard,14,0.9916666666666667,-23.783333333333335,38.35294117647059,0.17462345899548382,0.007083791992045008,0.18170725098752882,1500,0.2,0.95,1.0,0.05,0.995,0.95,0.0001,True
vi_theta,0.001,ValueIteration,hard,14,0.9916666666666667,-23.841666666666665,38.378151260504204,0.13042349999886937,0.007041333999950439,0.1374648339988198,1500,0.2,0.95,1.0,0.05,0.995,0.95,0.001,True
vi_theta,1e-07,ValueIteration,medium,12,1.0,-0.6416666666666667,26.175,0.040511125000193715,0.004978540993761271,0.045489665993954986,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-07,True
vi_theta,1e-06,ValueIteration,medium,12,1.0,-0.6583333333333333,26.191666666666666,0.03757704199233558,0.004970125010004267,0.04254716700233985,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-06,True
vi_theta,1e-05,ValueIteration,medium,12,1.0,-0.675,26.208333333333332,0.035591792009654455,0.004968584005837329,0.040560376015491784,1500,0.2,0.95,1.0,0.05,0.995,0.95,1e-05,True
vi_theta,0.0001,ValueIteration,medium,12,1.0,-0.675,26.241666666666667,0.03250849999312777,0.004973792005330324,0.037482291998458095,1500,0.2,0.95,1.0,0.05,0.995,0.95,0.0001,True
vi_theta,0.001,ValueIteration,medium,12,1.0,-0.675,26.241666666666667,0.029633166996063665,0.0049605000094743446,0.03459366700553801,1500,0.2,0.95,1.0,0.05,0.995,0.95,0.001,True
